Subject,Chapter,No,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,,,
Chemistry,1,1,TRUE_FALSE,An ionic bond is formed by the transfer of electrons from one atom to another.,TRUE,FALSE,,,A,,,
Chemistry,1,2,TRUE_FALSE,A covalent bond is formed by sharing electrons between atoms.,TRUE,FALSE,,,A,,,
Chemistry,1,3,TRUE_FALSE,Electronegativity is the ability of an atom to attract bonding electrons toward itself.,TRUE,FALSE,,,A,,,
Chemistry,1,4,TRUE_FALSE,Hydrogen bonding is a type of intramolecular attraction.,TRUE,FALSE,,,B,,,
Chemistry,1,5,TRUE_FALSE,London dispersion forces are present only in polar molecules.,TRUE,FALSE,,,B,,,
Chemistry,1,6,BLANK,An ionic bond is formed by the _____ of electrons from one atom to another.,,,,,transfer,,,
Chemistry,1,7,BLANK,A covalent bond is formed by _____ electrons between atoms.,,,,,sharing,,,
Chemistry,1,8,BLANK,Electronegativity is the ability of an atom to attract bonding electrons toward itself is called ______.,,,,,electronegativity,,,
Chemistry,1,9,BLANK,Hydrogen bonding is a type of ______ attraction.,,,,,intramolecular,,,
Chemistry,1,10,BLANK,London dispersion forces are present only in ______ molecules.,,,,,polar,,,
Chemistry,1,11,MCQ,An ionic bond is formed by the _____ of electrons from one atom to another.,sharing,transfer,loss and sharing,attraction,B,,,
Chemistry,1,12,MCQ,A covalent bond is formed by _____ electrons between atoms.,transferring,losing,sharing,gaining,C,,,
Chemistry,1,13,MCQ,Electronegativity is the ability of an atom to attract bonding electrons toward itself is called ______.,ionization energy,electronegativity,atomic mass,electron affinity,B,,,
Chemistry,1,14,MCQ,Hydrogen bonding is a type of ______ attraction.,intramolecular,intermolecular,ionic,metallic,A,,,
Chemistry,1,15,MCQ,London dispersion forces are present only in ______ molecules.,only in polar molecules,only in ionic compounds,in all atoms and molecules,only in molecules containing hydrogen ,A,,,
Chemistry,2,1,TRUE_FALSE,"At equilibrium,the forward and reverse reactions occur at the same rate.",TRUE,FALSE,,,A,,,
Chemistry,2,2,TRUE_FALSE,The equilibrium constant indicates the relative amounts of reactants and products at equilibrium.,TRUE,FALSE,,,A,,,
Chemistry,2,3,TRUE_FALSE,"When a system at equilibrium is distributed, it shifts in a direction that opposes the disturbance.",TRUE,FALSE,,,A,,,jhi
Chemistry,2,4,TRUE_FALSE,Increasing the temperature always shifts an equilibrium toward the products.,TRUE,FALSE,,,B,,,
Chemistry,2,5,TRUE_FALSE,A catalyst changes the equilibrium constant of a reaction.,TRUE,FALSE,,,B,,,
Chemistry,2,6,BLANK,"At equilibrium,the forward and reverse reactions occur at the same _____.",,,,,rate,,,
Chemistry,2,7,BLANK,The _____ constant indicates the relative amounts of reactants and products at equilibrium.,,,,,equilibrium,,,
Chemistry,2,8,BLANK,"When a system at equilibrium is distributed, it shifts in a direction that ______the disturbance.",,,,,opposes,,,
Chemistry,2,9,BLANK,Increasing the temperature always shifts an equilibrium toward the ______.,,,,,products,,,
Chemistry,2,10,BLANK,A catalyst changes the _______ constant of a reaction.,,,,,equilibrium,,,
Chemistry,2,11,MCQ,"At equilibrium,the forward and reverse reactions occur at the same ______.",concentration,rate,temperature,pressure,B,,,
Chemistry,2,12,MCQ,The ______ constant indicates the relative amounts of reactants and products at equilibrium.,rate,equilibrium,reaction,concentration,B,,,
